#detid      cr   sl   tb   dcc  sp htr_fib fib_ch   det    eta  phi   depth
 54000080  28   10   u    0       0          4              0 ZDC_RPD    -1     1    -99
 54000081  28   10   u    0       0          4              1 ZDC_RPD    -1     2    -99
 54000082  28   10   u    0       0          4              2 ZDC_RPD    -1     3    -99
 54000083  28   10   u    0       0          4              3 ZDC_RPD    -1     4    -99
 54000084  28   10   u    0       0          5              0 ZDC_RPD    -1     5    -99
 54000085  28   10   u    0       0          5              1 ZDC_RPD    -1     6    -99
 54000086  28   10   u    0       0          5              2 ZDC_RPD    -1     7    -99
 54000087  28   10   u    0       0          5              3 ZDC_RPD    -1     8    -99
 54000088  28   10   u    0       0          6              0 ZDC_RPD    -1     9    -99
 54000089  28   10   u    0       0          6              1 ZDC_RPD    -1    10    -99
 5400008A  28   10   u    0       0          6              2 ZDC_RPD    -1    11    -99
 5400008B  28   10   u    0       0          6              3 ZDC_RPD    -1    12    -99
 5400008C  28   10   u    0       0          7              0 ZDC_RPD    -1    13    -99
 5400008D  28   10   u    0       0          7              1 ZDC_RPD    -1    14    -99
 5400008E  28   10   u    0       0          7              2 ZDC_RPD    -1    15    -99
 5400008F  28   10   u    0       0          7              3 ZDC_RPD    -1    16    -99
 54000010  28   10   u    0       0         10              0  ZDC_EM    -1     1    -99
 54000011  28   10   u    0       0         10              1  ZDC_EM    -1     2    -99
 54000012  28   10   u    0       0         10              2  ZDC_EM    -1     3    -99
 54000013  28   10   u    0       0         10              3  ZDC_EM    -1     4    -99
 54000014  28   10   u    0       0          8              0  ZDC_EM    -1     5    -99
 54000020  28   10   u    0       0         11              0 ZDC_HAD    -1     1    -99
 54000021  28   10   u    0       0         11              1 ZDC_HAD    -1     2    -99
 54000022  28   10   u    0       0         11              2 ZDC_HAD    -1     3    -99
 54000023  28   10   u    0       0         11              3 ZDC_HAD    -1     4    -99
 540000C0  28   10   u    0       0         14              0 ZDC_RPD     1     1    -99
 540000C1  28   10   u    0       0         14              1 ZDC_RPD     1     2    -99
 540000C2  28   10   u    0       0         14              2 ZDC_RPD     1     3    -99
 540000C3  28   10   u    0       0         14              3 ZDC_RPD     1     4    -99
 540000C4  28   10   u    0       0         15              0 ZDC_RPD     1     5    -99
 540000C5  28   10   u    0       0         15              1 ZDC_RPD     1     6    -99
 540000C6  28   10   u    0       0         15              2 ZDC_RPD     1     7    -99
 540000C7  28   10   u    0       0         15              3 ZDC_RPD     1     8    -99
 540000C8  28   10   u    0       0         16              0 ZDC_RPD     1     9    -99
 540000C9  28   10   u    0       0         18              1 ZDC_RPD     1    10    -99
 540000CA  28   10   u    0       0         18              2 ZDC_RPD     1    11    -99
 540000CB  28   10   u    0       0         18              3 ZDC_RPD     1    12    -99
 540000CC  28   10   u    0       0         19              0 ZDC_RPD     1    13    -99
 540000CD  28   10   u    0       0         19              1 ZDC_RPD     1    14    -99
 540000CE  28   10   u    0       0         19              2 ZDC_RPD     1    15    -99
 540000CF  28   10   u    0       0         19              3 ZDC_RPD     1    16    -99
 54000050  28   10   u    0       0         20              0  ZDC_EM     1     1    -99
 54000051  28   10   u    0       0         20              1  ZDC_EM     1     2    -99
 54000052  28   10   u    0       0         20              2  ZDC_EM     1     3    -99
 54000053  28   10   u    0       0         20              3  ZDC_EM     1     4    -99
 54000054  28   10   u    0       0         22              0  ZDC_EM     1     5    -99
 54000060  28   10   u    0       0         21              0 ZDC_HAD     1     1    -99
 54000061  28   10   u    0       0         21              1 ZDC_HAD     1     2    -99
 54000062  28   10   u    0       0         21              2 ZDC_HAD     1     3    -99
 54000063  28   10   u    0       0         21              3 ZDC_HAD     1     4    -99
