#detid      cr   sl   tb   dcc  sp htr_fib fib_ch   det    eta  phi   depth
 54000011  28   03   u    0       0          6              0  ZDC_EM    -1     1    -99
 54000012  28   03   u    0       0          6              1  ZDC_EM    -1     2    -99
 54000013  28   03   u    0       0          6              2  ZDC_EM    -1     3    -99
 54000014  28   03   u    0       0          6              3  ZDC_EM    -1     4    -99
 54000015  28   03   u    0       0          7              0  ZDC_EM    -1     5    -99
 54000021  28   03   u    0       0          7              1 ZDC_HAD    -1     1    -99
 54000022  28   03   u    0       0          7              2 ZDC_HAD    -1     2    -99
 54000023  28   03   u    0       0          7              3 ZDC_HAD    -1     3    -99
 54000024  28   03   u    0       0          8              0 ZDC_HAD    -1     4    -99
 54000080  28   03   u    0       0          0              0 ZDC_RPD    -1     1    -99
 54000081  28   03   u    0       0          0              1 ZDC_RPD    -1     2    -99
 54000082  28   03   u    0       0          0              2 ZDC_RPD    -1     3    -99
 54000083  28   03   u    0       0          0              3 ZDC_RPD    -1     4    -99
 54000084  28   03   u    0       0          1              0 ZDC_RPD    -1     5    -99
 54000085  28   03   u    0       0          1              1 ZDC_RPD    -1     6    -99
 54000086  28   03   u    0       0          1              2 ZDC_RPD    -1     7    -99
 54000087  28   03   u    0       0          1              3 ZDC_RPD    -1     8    -99
 54000088  28   03   u    0       0          2              0 ZDC_RPD    -1     9    -99
 54000089  28   03   u    0       0          2              1 ZDC_RPD    -1    10    -99
 5400008A  28   03   u    0       0          2              2 ZDC_RPD    -1    11    -99
 5400008B  28   03   u    0       0          2              3 ZDC_RPD    -1    12    -99
 540000C0  28   03   u    0       0         12              0 ZDC_RPD     1     1    -99
 540000C1  28   03   u    0       0         12              1 ZDC_RPD     1     2    -99
 540000C2  28   03   u    0       0         12              2 ZDC_RPD     1     3    -99
 540000C3  28   03   u    0       0         12              3 ZDC_RPD     1     4    -99
 540000C4  28   03   u    0       0         13              0 ZDC_RPD     1     5    -99
 540000C5  28   03   u    0       0         13              1 ZDC_RPD     1     6    -99
 540000C6  28   03   u    0       0         13              2 ZDC_RPD     1     7    -99
 540000C7  28   03   u    0       0         13              3 ZDC_RPD     1     8    -99
 540000C8  28   03   u    0       0         14              0 ZDC_RPD     1     9    -99
 540000C9  28   03   u    0       0         14              1 ZDC_RPD     1    10    -99
 540000CA  28   03   u    0       0         14              2 ZDC_RPD     1    11    -99
 540000CB  28   03   u    0       0         14              3 ZDC_RPD     1    12    -99
 54000051  28   03   u    0       0         18              0  ZDC_EM     1     1    -99
 54000052  28   03   u    0       0         18              1  ZDC_EM     1     2    -99
 54000053  28   03   u    0       0         18              2  ZDC_EM     1     3    -99
 54000054  28   03   u    0       0         18              3  ZDC_EM     1     4    -99
 54000055  28   03   u    0       0         19              0  ZDC_EM     1     5    -99
 54000061  28   03   u    0       0         19              1 ZDC_HAD     1     1    -99
 54000062  28   03   u    0       0         19              2 ZDC_HAD     1     2    -99
 54000063  28   03   u    0       0         19              3 ZDC_HAD     1     3    -99
 54000064  28   03   u    0       0         20              0 ZDC_HAD     1     4    -99
